iter	Passed	Remaining
0	165	165001
1	168	83978
2	171	56843
3	174	43375
4	177	35249
5	180	29835
6	182	25955
7	186	23072
8	189	20829
9	192	19013
10	195	17550
11	198	16310
12	200	15256
13	203	14339
14	206	13566
15	209	12867
16	211	12253
17	214	11705
18	217	11228
19	220	10784
20	223	10396
21	225	10030
22	228	9699
23	231	9399
24	233	9116
25	236	8858
26	239	8625
27	242	8401
28	244	8197
29	247	8008
30	250	7826
31	253	7656
32	255	7498
33	258	7346
34	261	7208
35	264	7073
36	266	6944
37	269	6823
38	272	6706
39	274	6597
40	277	6493
41	280	6392
42	282	6296
43	285	6210
44	288	6123
45	291	6047
46	294	5970
47	297	5895
48	299	5820
49	302	5754
50	305	5686
51	308	5618
52	310	5552
53	313	5492
54	316	5432
55	318	5376
56	322	5335
57	325	5289
58	328	5239
59	331	5188
60	333	5141
61	336	5092
62	339	5045
63	341	5001
64	344	4957
65	347	4915
66	350	4878
67	353	4839
68	355	4800
69	358	4762
70	361	4727
71	363	4690
72	366	4655
73	369	4621
74	371	4586
75	374	4553
76	377	4522
77	380	4494
78	382	4463
79	385	4433
80	388	4410
81	391	4383
82	394	4356
83	396	4328
84	399	4301
85	402	4275
86	404	4249
87	407	4224
88	410	4201
89	413	4178
90	415	4155
91	418	4131
92	421	4107
93	423	4085
94	426	4062
95	429	4040
96	431	4019
97	434	3998
98	437	3978
99	439	3957
100	442	3937
101	445	3918
102	447	3899
103	450	3880
104	453	3862
105	456	3846
106	458	3828
107	461	3810
108	464	3792
109	466	3776
110	469	3760
111	472	3743
112	474	3727
113	477	3711
114	480	3696
115	483	3682
116	486	3668
117	488	3655
118	491	3639
119	494	3625
120	496	3610
121	499	3596
122	502	3581
123	505	3568
124	507	3554
125	510	3541
126	513	3528
127	515	3515
128	518	3501
129	521	3487
130	523	3475
131	526	3462
132	529	3451
133	532	3440
134	534	3427
135	537	3415
136	540	3403
137	543	3392
138	545	3381
139	548	3370
140	551	3360
141	554	3348
142	556	3337
143	559	3327
144	562	3317
145	565	3307
146	568	3296
147	570	3286
148	573	3276
149	576	3265
150	579	3257
151	582	3248
152	584	3238
153	587	3228
154	590	3219
155	593	3209
156	596	3200
157	598	3190
158	601	3181
159	604	3172
160	606	3162
161	609	3153
162	612	3143
163	615	3135
164	617	3126
165	620	3117
166	623	3108
167	625	3099
168	628	3090
169	631	3081
170	634	3073
171	636	3065
172	639	3056
173	642	3047
174	644	3039
175	647	3031
176	650	3022
177	652	3014
178	655	3006
179	658	2997
180	660	2989
181	663	2981
182	666	2973
183	668	2965
184	671	2957
185	673	2949
186	677	2943
187	679	2936
188	682	2929
189	685	2922
190	688	2914
191	690	2907
192	693	2900
193	696	2894
194	699	2887
195	702	2880
196	704	2873
197	707	2866
198	710	2859
199	713	2852
200	715	2845
201	718	2837
202	721	2830
203	723	2824
204	726	2817
205	729	2810
206	731	2803
207	734	2796
208	737	2790
209	740	2784
210	743	2778
211	745	2771
212	748	2764
213	750	2757
214	753	2751
215	756	2744
216	758	2738
217	761	2731
218	764	2725
219	766	2718
220	769	2712
221	772	2707
222	775	2702
223	778	2696
224	781	2690
225	783	2684
226	786	2678
227	789	2672
228	791	2666
229	794	2660
230	797	2654
231	800	2648
232	802	2642
233	805	2636
234	807	2630
235	810	2624
236	813	2618
237	815	2612
238	818	2607
239	821	2601
240	824	2595
241	826	2589
242	829	2585
243	832	2579
244	835	2573
245	837	2568
246	840	2562
247	843	2557
248	846	2552
249	848	2546
250	851	2540
251	854	2535
252	856	2529
253	859	2524
254	862	2518
255	864	2513
256	867	2508
257	870	2503
258	873	2498
259	876	2493
260	878	2488
261	881	2482
262	884	2477
263	886	2472
264	889	2467
265	892	2462
266	895	2457
267	897	2451
268	900	2447
269	903	2441
270	906	2437
271	908	2432
272	911	2427
273	914	2422
274	916	2417
275	919	2412
276	922	2406
277	924	2401
278	927	2396
279	929	2391
280	932	2386
281	935	2381
282	938	2376
283	940	2371
284	943	2366
285	945	2361
286	948	2357
287	951	2352
288	954	2347
289	956	2342
290	959	2337
291	961	2332
292	965	2328
293	967	2324
294	970	2319
295	973	2314
296	975	2309
297	978	2305
298	981	2300
299	983	2295
300	986	2289
301	988	2285
302	991	2280
303	994	2275
304	996	2271
305	999	2266
306	1002	2262
307	1004	2257
308	1007	2253
309	1010	2248
310	1012	2243
311	1015	2239
312	1018	2234
313	1020	2230
314	1023	2225
315	1026	2222
316	1029	2218
317	1032	2213
318	1034	2208
319	1037	2204
320	1040	2200
321	1042	2196
322	1045	2191
323	1048	2187
324	1051	2183
325	1054	2179
326	1057	2175
327	1059	2171
328	1062	2166
329	1065	2162
330	1067	2157
331	1070	2153
332	1073	2150
333	1076	2146
334	1079	2142
335	1081	2137
336	1084	2133
337	1087	2129
338	1089	2125
339	1092	2120
340	1095	2116
341	1097	2111
342	1100	2107
343	1103	2103
344	1105	2099
345	1108	2095
346	1110	2090
347	1113	2086
348	1116	2082
349	1118	2078
350	1121	2073
351	1124	2069
352	1126	2065
353	1129	2061
354	1132	2057
355	1134	2053
356	1137	2048
357	1140	2044
358	1142	2040
359	1145	2036
360	1148	2032
361	1151	2028
362	1153	2024
363	1156	2020
364	1159	2016
365	1161	2012
366	1164	2008
367	1167	2004
368	1170	2000
369	1172	1996
370	1175	1992
371	1178	1988
372	1180	1985
373	1183	1981
374	1186	1977
375	1189	1973
376	1191	1969
377	1194	1965
378	1197	1961
379	1199	1957
380	1202	1953
381	1205	1949
382	1208	1946
383	1210	1942
384	1213	1938
385	1216	1934
386	1218	1930
387	1221	1926
388	1224	1922
389	1226	1919
390	1229	1915
391	1232	1911
392	1234	1907
393	1237	1903
394	1240	1899
395	1243	1896
396	1246	1892
397	1248	1888
398	1251	1885
399	1254	1881
400	1256	1877
401	1259	1873
402	1262	1869
403	1264	1865
404	1267	1862
405	1270	1858
406	1272	1854
407	1275	1850
408	1278	1846
409	1280	1843
410	1283	1839
411	1286	1835
412	1288	1831
413	1291	1827
414	1294	1824
415	1296	1820
416	1299	1816
417	1302	1813
418	1304	1809
419	1307	1805
420	1310	1801
421	1313	1798
422	1315	1794
423	1318	1790
424	1320	1787
425	1323	1783
426	1326	1780
427	1329	1776
428	1331	1772
429	1334	1768
430	1337	1765
431	1340	1762
432	1342	1758
433	1345	1754
434	1348	1751
435	1350	1747
436	1353	1744
437	1356	1740
438	1359	1736
439	1361	1733
440	1364	1729
441	1367	1725
442	1369	1722
443	1372	1718
444	1375	1715
445	1377	1711
446	1380	1707
447	1383	1704
448	1385	1700
449	1388	1697
450	1391	1693
451	1393	1689
452	1396	1686
453	1399	1682
454	1401	1679
455	1404	1675
456	1407	1672
457	1410	1668
458	1412	1665
459	1415	1661
460	1418	1658
461	1420	1654
462	1423	1651
463	1426	1647
464	1428	1643
465	1431	1640
466	1434	1637
467	1437	1633
468	1440	1630
469	1442	1626
470	1445	1623
471	1448	1620
472	1451	1616
473	1453	1613
474	1456	1609
475	1458	1605
476	1461	1602
477	1464	1599
478	1467	1595
479	1469	1592
480	1472	1589
481	1475	1585
482	1478	1582
483	1480	1578
484	1483	1575
485	1486	1571
486	1488	1568
487	1491	1564
488	1494	1561
489	1496	1558
490	1499	1554
491	1502	1551
492	1505	1547
493	1507	1544
494	1510	1540
495	1513	1537
496	1515	1534
497	1518	1530
498	1521	1527
499	1523	1523
500	1526	1520
501	1529	1516
502	1532	1513
503	1535	1510
504	1537	1507
505	1540	1503
506	1543	1500
507	1545	1497
508	1548	1493
509	1551	1490
510	1553	1487
511	1556	1483
512	1559	1480
513	1561	1476
514	1564	1473
515	1567	1470
516	1570	1466
517	1572	1463
518	1575	1460
519	1578	1456
520	1580	1453
521	1583	1450
522	1586	1446
523	1588	1443
524	1591	1440
525	1594	1436
526	1597	1433
527	1600	1430
528	1602	1426
529	1605	1423
530	1607	1420
531	1610	1417
532	1613	1413
533	1616	1410
534	1618	1406
535	1621	1403
536	1624	1400
537	1626	1397
538	1629	1394
539	1632	1390
540	1635	1387
541	1637	1384
542	1640	1380
543	1643	1377
544	1646	1374
545	1648	1371
546	1651	1367
547	1654	1364
548	1656	1361
549	1659	1357
550	1661	1354
551	1664	1350
552	1667	1347
553	1670	1344
554	1672	1341
555	1675	1337
556	1677	1334
557	1680	1331
558	1683	1327
559	1685	1324
560	1688	1321
561	1691	1318
562	1693	1314
563	1696	1311
564	1699	1308
565	1701	1305
566	1704	1301
567	1707	1298
568	1710	1295
569	1712	1291
570	1715	1288
571	1717	1285
572	1720	1282
573	1723	1278
574	1726	1275
575	1728	1272
576	1731	1269
577	1734	1266
578	1737	1263
579	1739	1259
580	1742	1256
581	1745	1253
582	1747	1250
583	1750	1246
584	1753	1243
585	1755	1240
586	1758	1237
587	1761	1234
588	1764	1230
589	1766	1227
590	1769	1224
591	1772	1221
592	1774	1218
593	1777	1214
594	1780	1211
595	1782	1208
596	1785	1205
597	1788	1202
598	1790	1198
599	1793	1195
600	1796	1192
601	1798	1189
602	1801	1185
603	1804	1182
604	1806	1179
605	1809	1176
606	1812	1173
607	1814	1169
608	1817	1166
609	1820	1163
610	1823	1160
611	1826	1157
612	1828	1154
613	1831	1151
614	1834	1148
615	1836	1145
616	1839	1141
617	1842	1138
618	1844	1135
619	1848	1132
620	1851	1129
621	1854	1126
622	1856	1123
623	1859	1120
624	1861	1117
625	1864	1113
626	1867	1110
627	1870	1107
628	1872	1104
629	1875	1101
630	1878	1098
631	1880	1095
632	1883	1092
633	1886	1088
634	1888	1085
635	1891	1082
636	1893	1079
637	1896	1076
638	1899	1073
639	1902	1069
640	1904	1066
641	1907	1063
642	1910	1060
643	1912	1057
644	1915	1054
645	1918	1051
646	1921	1048
647	1924	1045
648	1926	1042
649	1929	1038
650	1931	1035
651	1934	1032
652	1937	1029
653	1939	1026
654	1942	1023
655	1945	1019
656	1947	1016
657	1950	1013
658	1952	1010
659	1955	1007
660	1958	1004
661	1960	1001
662	1963	998
663	1966	994
664	1968	991
665	1971	988
666	1974	985
667	1976	982
668	1979	979
669	1982	976
670	1985	973
671	1987	970
672	1990	967
673	1993	964
674	1995	960
675	1998	957
676	2000	954
677	2003	951
678	2006	948
679	2008	945
680	2011	942
681	2014	939
682	2017	936
683	2020	933
684	2022	930
685	2025	927
686	2028	924
687	2031	921
688	2033	917
689	2036	914
690	2038	911
691	2041	908
692	2044	905
693	2046	902
694	2049	899
695	2051	896
696	2054	893
697	2057	890
698	2059	887
699	2062	883
700	2065	880
701	2067	877
702	2070	874
703	2073	871
704	2075	868
705	2078	865
706	2081	862
707	2083	859
708	2086	856
709	2089	853
710	2091	850
711	2094	847
712	2097	844
713	2099	841
714	2102	838
715	2105	835
716	2108	832
717	2111	829
718	2113	826
719	2116	823
720	2119	820
721	2121	817
722	2124	813
723	2127	810
724	2129	807
725	2132	804
726	2135	801
727	2137	798
728	2140	795
729	2142	792
730	2145	789
731	2148	786
732	2151	783
733	2153	780
734	2156	777
735	2159	774
736	2161	771
737	2164	768
738	2167	765
739	2170	762
740	2172	759
741	2175	756
742	2178	753
743	2180	750
744	2183	747
745	2186	744
746	2188	741
747	2191	738
748	2194	735
749	2196	732
750	2199	729
751	2202	726
752	2205	723
753	2208	720
754	2210	717
755	2213	714
756	2215	711
757	2218	708
758	2221	705
759	2223	702
760	2226	699
761	2229	696
762	2231	693
763	2234	690
764	2237	687
765	2240	684
766	2242	681
767	2245	678
768	2248	675
769	2250	672
770	2253	669
771	2256	666
772	2258	663
773	2261	660
774	2263	657
775	2266	654
776	2269	651
777	2272	648
778	2274	645
779	2277	642
780	2279	639
781	2282	636
782	2285	633
783	2287	630
784	2290	627
785	2293	624
786	2295	621
787	2298	618
788	2301	615
789	2304	612
790	2307	609
791	2310	606
792	2312	603
793	2315	600
794	2319	598
795	2322	595
796	2324	592
797	2327	589
798	2329	586
799	2332	583
800	2335	580
801	2337	577
802	2340	574
803	2342	571
804	2345	568
805	2348	565
806	2351	562
807	2353	559
808	2356	556
809	2359	553
810	2361	550
811	2364	547
812	2367	544
813	2370	541
814	2372	538
815	2375	535
816	2378	532
817	2380	529
818	2383	526
819	2385	523
820	2388	520
821	2391	517
822	2394	515
823	2397	512
824	2399	509
825	2402	506
826	2405	503
827	2408	500
828	2410	497
829	2413	494
830	2415	491
831	2418	488
832	2421	485
833	2424	482
834	2426	479
835	2429	476
836	2432	473
837	2434	470
838	2437	467
839	2440	464
840	2442	461
841	2445	458
842	2447	455
843	2450	452
844	2453	450
845	2455	447
846	2458	444
847	2461	441
848	2463	438
849	2466	435
850	2469	432
851	2471	429
852	2474	426
853	2476	423
854	2479	420
855	2482	417
856	2485	414
857	2488	411
858	2491	408
859	2493	405
860	2496	403
861	2499	400
862	2501	397
863	2504	394
864	2506	391
865	2509	388
866	2512	385
867	2514	382
868	2517	379
869	2520	376
870	2522	373
871	2525	370
872	2528	367
873	2530	364
874	2533	361
875	2536	359
876	2539	356
877	2541	353
878	2544	350
879	2547	347
880	2549	344
881	2552	341
882	2555	338
883	2557	335
884	2560	332
885	2562	329
886	2565	326
887	2568	323
888	2570	321
889	2573	318
890	2576	315
891	2578	312
892	2581	309
893	2584	306
894	2587	303
895	2590	300
896	2592	297
897	2595	294
898	2598	291
899	2600	288
900	2603	286
901	2606	283
902	2608	280
903	2611	277
904	2614	274
905	2617	271
906	2620	268
907	2622	265
908	2625	262
909	2628	259
910	2630	257
911	2633	254
912	2636	251
913	2638	248
914	2641	245
915	2644	242
916	2646	239
917	2649	236
918	2651	233
919	2654	230
920	2656	227
921	2660	225
922	2662	222
923	2665	219
924	2667	216
925	2670	213
926	2673	210
927	2676	207
928	2679	204
929	2681	201
930	2684	198
931	2687	196
932	2689	193
933	2692	190
934	2694	187
935	2697	184
936	2700	181
937	2703	178
938	2705	175
939	2708	172
940	2711	169
941	2713	167
942	2716	164
943	2719	161
944	2721	158
945	2724	155
946	2726	152
947	2729	149
948	2732	146
949	2734	143
950	2737	141
951	2739	138
952	2742	135
953	2745	132
954	2748	129
955	2750	126
956	2753	123
957	2755	120
958	2758	117
959	2761	115
960	2763	112
961	2766	109
962	2769	106
963	2772	103
964	2775	100
965	2777	97
966	2780	94
967	2782	91
968	2785	89
969	2788	86
970	2790	83
971	2793	80
972	2796	77
973	2799	74
974	2801	71
975	2804	68
976	2807	66
977	2809	63
978	2812	60
979	2815	57
980	2817	54
981	2820	51
982	2823	48
983	2825	45
984	2828	43
985	2830	40
986	2833	37
987	2836	34
